Género,epíteto específico,Color_1,Color_2,Color_3,Láminas,Poros,Dientes,Pliegues,Gasteroide,Plato-cuenco-olla,Pie-sombrero-no-tipico,Nido,Gelatinosas,Coral-coliflor,Embudo-c/s-hendidura,Porra,Porra con cabeza,Clavo,Repisa-leñosos,Costra,Falos hediondos,Otros,Líquenes,Myxomycetos
Macrolepiota,procera,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marasmiellus,ramealis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marasmius,haematocephalus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marasmius,rhyssophylus,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marasmius,oreades,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycena,galericulata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycena,haematopus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycena,leptocephala,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycena,personiana,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycena,pura,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neolentinus,lepideus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudemansiella,canarii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panaeolus,acuminatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panaeolus,antillarum,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panaeolus,campanulatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panaeolus,papilonaceus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panaeolus,sepulchralis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panaeolus,sphinctrinus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panellus,pussillus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasola,conopilea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasola,plicatilis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paxillus,involutus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotus,aldibus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotus,djamor,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotus,citrinopileatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotus,colombinus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotus,lindquistii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotus,ostreatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurotus,pulmonarius,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pluteus,cervinus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pluteus,petasatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protostorpharia,semiglobata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psathyrella,aquatica,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psathyrella,bipellis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psathyrella,squamosa,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psilocybe,coronilla,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psilocybe,cubensis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psilocybe,semilanceata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psilocybe,uruguayensis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resupinatus,applicatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizocybe,alba,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodocollybia,prolixa var. distorta,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,amethystina,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,cyanoxantha,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,lutea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,pectinata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,pectinatoides,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,risigallina,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,sardonia,30.97 43.8 6.91,95.92 0.15 1.67,97.63 -0.03 2.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula,sororia,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schizophyllum,commune,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Setchelliogaster,tenuipes,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simocybe,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stropharia,hornemanii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stropharia,rugosoannulata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
